COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,SITUACAO,NOM_TIPO_SEGLOGR,NOM_TITULO_SEGLOGR,NOM_SEGLOGR,NUM_ENDERECO,DSC_MODIFICADOR,NOM_COMP_ELEM1,VAL_COMP_ELEM1,NOM_COMP_ELEM2,VAL_COMP_ELEM2,NOM_COMP_ELEM3,VAL_COMP_ELEM3,NOM_COMP_ELEM4,VAL_COMP_ELEM4,NOM_COMP_ELEM5,VAL_COMP_ELEM5,LATITUDE,LONGITUDE,ALTITUDE,DSC_LOCALIDADE,COD_ESPECIE,CEP
31,9006,15,0,2,ESTRADA,,DO MATO DENTRO,,SN,,,,,,,,,,,-20.16828663888889,-44.24302163888889,806.0,CONCEICAO DE ITAGUA,3,35460000
31,9006,15,0,2,ESTRADA,,DO MATO DENTRO,,SN,,,,,,,,,,,-20.15940663888889,-44.24307833333334,763.0,CONCEICAO DE ITAGUA,3,35460000
31,9006,15,0,2,ESTRADA,,DO MATO DENTRO,4.0,,,,,,,,,,,,-20.16183,-44.24574663888889,764.0,CONCEICAO DE ITAGUA,3,35460000
31,9006,15,0,2,ESTRADA,,DO MATO DENTRO,,SN,,,,,,,,,,,-20.181365,-44.245428305555556,843.0,QUINTAS DO RIO MANSO,3,35460000
31,9006,15,0,2,ESTRADA,,DO MATO DENTRO,,SN,,,,,,,,,,,-20.173715,-44.23818330555556,811.0,CONCEICAO DE ITAGUA,3,35460000
31,9006,15,0,2,ESTRADA,,DO MATO DENTRO,,SN,,,,,,,,,,,-20.17685663888889,-44.235153333333336,835.0,CONCEICAO DE ITAGUA,3,35460000
31,9006,15,0,2,ESTRADA,,DO MATO DENTRO,,SN,,,,,,,,,,,-20.160163333333333,-44.237363333333334,761.0,CONCEICAO DE ITAGUA,3,35460000
31,9006,15,0,2,ALAMEDA,,DO BOSQUE,,SN,,,,,,,,,,,-20.174345000000002,-44.24944497222222,809.0,CONCEICAO DE ITAGUA,3,35460000
31,9006,15,0,2,RUA,,JOSE NUNES DE CARVALHO,,SN,,,,,,,,,,,-20.157071666666667,-44.25646163888889,780.0,CONCEICAO DE ITAGUA,3,35460000
31,9006,15,0,2,RUA,,QUATRO,,SN,,,,,,,,,,,-20.157196666666664,-44.24547330555556,753.0,BAIRRO RETIRO DO BRUMADO,3,35460000
31,9006,20,0,2,ESTRADA,,PARA FAZENDA MAE DAGUA,,SN,,,,,,,,,,,-20.18638663888889,-44.002335,,CORREGO FERREIRA,3,35460000
31,9006,20,0,2,ESTRADA,,PIEDADE A MARQUES,,SN,,,,,,,,,,,-20.169923305555557,-44.033681638888886,,PIEDADE DO PARAOPEBA,3,35460000
31,9006,20,0,2,ESTRADA,,PIEDADE A MARQUES,,SN,,,,,,,,,,,-20.170818333333333,-44.03754830555555,,PIEDADE DO PARAOPEBA,3,35460000
31,9006,20,0,2,ESTRADA,,PIEDADE A MARQUES,,SN,,,,,,,,,,,-20.174434972222222,-44.035156666666666,861.0,PIEDADE DO PARAOPEBA,3,35460000
31,9006,20,0,2,ESTRADA,,QUINTILIANO,,SN,,,,,,,,,,,-20.184813333333334,-44.028105,810.0,QUINTILIANO,3,35460000
31,9006,5,0,2,ESTRADA,,PONTE DAS ALMORREMAS,,SN,CASA,,,,,,,,,,-20.162995,-44.18528499999999,829.0,BRUMADINHO,3,35460000
