COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,SITUACAO,NOM_TIPO_SEGLOGR,NOM_TITULO_SEGLOGR,NOM_SEGLOGR,NUM_ENDERECO,DSC_MODIFICADOR,NOM_COMP_ELEM1,VAL_COMP_ELEM1,NOM_COMP_ELEM2,VAL_COMP_ELEM2,NOM_COMP_ELEM3,VAL_COMP_ELEM3,NOM_COMP_ELEM4,VAL_COMP_ELEM4,NOM_COMP_ELEM5,VAL_COMP_ELEM5,LATITUDE,LONGITUDE,ALTITUDE,DSC_LOCALIDADE,COD_ESPECIE,CEP
31,40159,5,0,2,RUA,,RADIO,623.0,,,,,,,,,,,,-20.060208333333335,-44.194248305555554,745.0,RETA UM,3,32470000
31,40159,5,0,1,RUA,,MONTEIRO LOBATO,,SN,,,,,,,,,,,-20.060439972222223,-44.15665997222222,802.0,BOM JARDIM,3,32470000
31,40159,5,0,1,RUA,,MONTEIRO LOBATO,100.0,,,,,,,,,,,,-20.06141997222222,-44.15548997222222,800.0,BOM JARDIM,3,32470000
31,40159,5,0,1,RUA,,TRES IRMAO,,SN,,,,,,,,,,,-20.067873305555555,-44.16050997222222,841.0,BOM JARDIM,3,32470992
31,40159,5,0,1,RUA,,TRES IRMAO,,SN,,,,,,,,,,,-20.065921666666668,-44.160291638888886,833.0,BOM JARDIM,3,32470000
31,40159,5,0,1,RUA,,MARIANA DE FREITAS,1533.0,,,,,,,,,,,,-20.07031497222222,-44.152445,830.0,BOM JARDIM,3,32470000
31,40159,5,0,1,RODOVIA,,MG 40,56.0,,,,,,,,,,,,-20.06002163888889,-44.16432833333333,803.0,BOM JARDIM,3,32470970
31,40159,5,0,1,RODOVIA,,MG 40,,SN,,,,,,,,,,,-20.060773333333334,-44.16425997222222,825.0,BOM JARDIM,3,32470993
31,40159,5,0,1,RUA,,ALEIXO CAMOS,,SN,,,,,,,,,,,-20.06114,-44.16473663888889,827.0,BOM JARDIM,3,32470993
31,40159,5,0,1,RUA,,ALEIXO CAMOS,,SN,,,,,,,,,,,-20.06194497222222,-44.16444330555555,820.0,BOM JARDIM,3,32470993
31,40159,5,0,1,RUA,,DIONISIA ROSA DA SILVA,137.0,,,,,,,,,,,,-20.063608333333335,-44.163601638888885,821.0,BOM JARDIM,3,32470992
31,40159,5,0,1,RUA,,DIONISIA ROSA DA SILVA,,SN,,,,,,,,,,,-20.065495000000002,-44.163221638888885,821.0,BOM JARDIM,3,32470992
31,40159,5,0,1,RUA,,AMADOR CAMPOS,106.0,,,,,,,,,,,,-20.06627163888889,-44.16290163888889,830.0,BOM JARDIM,3,32470992
31,40159,5,0,1,RUA,,JOAQUIM SILVA CAMPOS,161.0,,,,,,,,,,,,-20.070435,-44.160086666666665,851.0,BOM JARDIM,3,32470993
31,40159,5,0,1,RUA,,JOAQUIM SILVA CAMPOS,127.0,,,,,,,,,,,,-20.069508305555555,-44.16063330555556,842.0,BOM JARDIM,3,32470992
31,40159,5,0,1,RUA,,MARIA EUGENIA MIRANDA,279.0,,,,,,,,,,,,-20.067553305555556,-44.16316830555555,832.0,BOM JARDIM,3,32470992
31,40159,5,0,1,FAZENDA,,NOSSO SITIO,,SN,,,,,,,,,,,-20.067848333333334,-44.154225,832.0,BOM JARDIM,3,32470993
31,40159,5,0,1,FAZENDA,,GARCIA,201.0,,,,,,,,,,,,-20.048268305555556,-44.180973333333334,721.0,MARIO CAMPOS,3,32470993
31,40159,5,0,1,FAZENDA,,GARCIA,266.0,,,,,,,,,,,,-20.04775163888889,-44.18004,721.0,MARIO CAMPOS,3,32470992
31,40159,5,0,2,RODOVIA,,MG 40,35.0,KM,,,,,,,,,,,-20.054525,-44.176764999999996,723.0,FAZENDA CAMPO BELO,3,32470000
31,40159,5,0,2,RODOVIA,,MG 40,,SN,,,,,,,,,,,-20.056653305555557,-44.17656497222222,743.0,FAZENDA CAMPO BELO,3,32470000
31,40159,5,0,2,RUA,,DOMINGOS FERREIRA DA COSTA,,SN,,,,,,,,,,,-20.062631638888888,-44.17613,765.0,FAZENDA CAMPO BELO,3,32470000
31,40159,5,0,2,RUA,,DOMINGOS FERREIRA DA COSTA,,SN,,,,,,,,,,,-20.062551666666668,-44.17608333333333,772.0,FAZENDA CAMPO BELO,3,32470000
31,40159,5,0,2,RUA,,CAMPO BELO,,SN,,,,,,,,,,,-20.060308333333335,-44.17136333333333,766.0,BAIRRO CMPO BELO,3,32470000
31,40159,5,0,2,RUA,,CAMPO BELO,,SN,,,,,,,,,,,-20.063329972222224,-44.171573305555555,784.0,BAIRRO CMPO BELO,3,32470000
31,40159,5,0,2,RUA,,CAMPO BELO,1301.0,,,,,,,,,,,,-20.06035497222222,-44.17166833333333,765.0,BAIRRO CMPO BELO,3,32470000
31,40159,5,0,2,RODOVIA,,MG 040,,SN,,,,,,,,,,,-20.076998333333332,-44.205696638888895,740.0,FUNIL,3,32470000
31,40159,5,0,2,RODOVIA,,MG 040,,SN,,,,,,,,,,,-20.074288305555555,-44.205018305555555,714.0,FUNIL,3,32470000
31,40159,5,0,2,RODOVIA,,MG 040,,SN,,,,,,,,,,,-20.07649163888889,-44.20541333333334,735.0,FUNIL,3,32470000
31,40159,5,0,2,RODOVIA,,MG 040,4647.0,,,,,,,,,,,,-20.079633333333334,-44.205885,740.0,FUNIL,3,32470000
31,40159,5,0,2,RODOVIA,,MG 040,4995.0,,,,,,,,,,,,-20.082143305555554,-44.206075000000006,733.0,FUNIL,3,32470000
31,40159,5,0,2,RODOVIA,,MG 040,,SN,,,,,,,,,,,-20.079409972222223,-44.207683305555555,711.0,FUNIL,3,32470000
31,40159,5,0,2,RUA,,ANITA DA SILVA FERNANDES,,SN,,,,,,,,,,,-20.07719833333333,-44.20480666666667,750.0,FUNIL,3,32470000
31,40159,5,0,2,RUA,,DOMINGOS MEIRELES,100.0,,,,,,,,,,,,-20.088349972222222,-44.207663305555556,721.0,FUNIL,3,32470000
31,40159,5,0,2,RUA,,DOMINGOS MEIRELES,282.0,B,,,,,,,,,,,-20.08864997222222,-44.20652330555556,734.0,FUNIL,3,32470000
31,40159,5,0,2,RUA,,DOMINGOS MEIRELES,501.0,,,,,,,,,,,,-20.08758333333333,-44.20478,764.0,FUNIL,3,32470000
31,40159,5,0,2,RUA,,DOMINGOS MEIRELES,901.0,,,,,,,,,,,,-20.086591638888887,-44.202145,774.0,FUNIL,3,32470000
31,40159,5,0,2,RUA,,DOMINGOS MEIRELES,1047.0,,,,,,,,,,,,-20.087426666666666,-44.200113333333334,775.0,FUNIL,3,32470000
31,40159,5,0,2,RUA,,DOMINGOS MEIRELES,85.0,,,,,,,,,,,,-20.088916666666666,-44.20581997222222,747.0,FUNIL,3,32470992
31,40159,5,0,2,RUA,,DOMINGOS MEIRELES,900.0,,,,,,,,,,,,-20.087043305555554,-44.202018305555555,773.0,FUNIL,3,32470000
31,40159,5,0,2,RUA,,JOAO ROSA,36.0,,,,,,,,,,,,-20.080296666666666,-44.20605330555556,732.0,FUNIL,3,32470000
31,40159,5,0,2,RUA,,JOAQUIM MARIANO DA SILVA,49.0,,,,,,,,,,,,-20.084998305555555,-44.20156330555556,771.0,FUNIL,3,32470000
31,40159,5,0,2,RUA,,NESTOR CANDIDO,1040.0,,,,,,,,,,,,-20.08508997222222,-44.19806997222222,805.0,FUNIL,3,32470000
31,40159,5,0,2,RUA,,ROSALINDA DA SILVA,100.0,,,,,,,,,,,,-20.08899,-44.20674833333334,734.0,FUNIL,3,32470000
31,40159,5,0,2,AVENIDA,SAO,SEBASTIAO,112.0,,,,,,,,,,,,-20.05103666666667,-44.180861666666665,728.0,SAO TARCISIO,3,32470000
31,40159,5,0,2,RUA,,MOCO,,SN,,,,,,,,,,,-20.05471163888889,-44.17117497222222,785.0,BOM JARDIM DO CAMPO,3,32470000
31,40159,5,0,2,RUA,,MOCO,,SN,,,,,,,,,,,-20.053263333333334,-44.17058497222222,774.0,BOM JARDIM DO CAMPO,3,32470000
31,40159,5,0,2,RUA,,MOCO,,SN,,,,,,,,,,,-20.050928333333335,-44.173136638888884,764.0,BOM JARDIM DO CAMPO,3,32470000
31,40159,5,0,2,RODOVIA,,MG 040,,SN,,,,,,,,,,,-20.05426,-44.16121163888889,780.0,BOM JARDIM,3,32470000
31,40159,5,0,2,RODOVIA,,MG 040,,SN,,,,,,,,,,,-20.053988305555556,-44.16033997222222,770.0,BOM JARDIM,3,32470000
31,40159,5,0,2,RODOVIA,,MG 040,,SN,,,,,,,,,,,-20.053929972222225,-44.17362333333333,777.0,BOM JARDIM DO CAMPO,3,32470000
31,40159,5,0,2,RODOVIA,,MG 040,,SN,,,,,,,,,,,-20.05094,-44.17617163888889,771.0,BOM JARDIM,3,32470000
31,40159,5,0,2,RODOVIA,,MG 040,,SN,,,,,,,,,,,-20.052734972222222,-44.17232663888888,771.0,BOM JARDIM,3,32470000
31,40159,5,0,2,RODOVIA,,MG 040,,SN,,,,,,,,,,,-20.05492166666667,-44.16025330555556,766.0,BOM JARDIM,3,32470000
31,40159,5,0,2,RODOVIA,,MG 040,,SN,,,,,,,,,,,-20.054366666666667,-44.16057497222222,762.0,BOM JARDIM,3,32470000
31,40159,5,0,2,RODOVIA,,MG 040,,SN,,,,,,,,,,,-20.05395,-44.16139663888889,762.0,BOM JARDIM,3,32470000
31,40159,5,0,2,RODOVIA,,MG 040,,SN,,,,,,,,,,,-20.054379972222222,-44.16101,761.0,BOM JARDIM,3,32470000
31,40159,5,0,2,RODOVIA,,MG 040,45.0,,,,,,,,,,,,-20.058568333333334,-44.163318305555556,812.0,BOM JARDIM,3,32470000
31,40159,5,0,2,RODOVIA,,MG 040,45.0,,,,,,,,,,,,-20.058568333333334,-44.163318305555556,812.0,BOM JARDIM,3,32470000
