COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,SITUACAO,NOM_TIPO_SEGLOGR,NOM_TITULO_SEGLOGR,NOM_SEGLOGR,NUM_ENDERECO,DSC_MODIFICADOR,NOM_COMP_ELEM1,VAL_COMP_ELEM1,NOM_COMP_ELEM2,VAL_COMP_ELEM2,NOM_COMP_ELEM3,VAL_COMP_ELEM3,NOM_COMP_ELEM4,VAL_COMP_ELEM4,NOM_COMP_ELEM5,VAL_COMP_ELEM5,LATITUDE,LONGITUDE,ALTITUDE,DSC_LOCALIDADE,COD_ESPECIE,CEP
31,52006,10,0,1,RUA,,DAS MANGABEIRAS,265.0,,,,,,,,,,,,-19.083808333333334,-44.95120663888889,703.0,SILVA CAMPOS,3,35640000
31,52006,10,0,1,AVENIDA,,MINISTRO FRANCISCO CAMPOS,886.0,,,,,,,,,,,,-19.089211666666664,-44.94518163888888,718.0,SILVA CAMPOS,3,35640000
31,52006,10,0,1,AVENIDA,,MINISTRO FRANCISCO CAMPOS,1200.0,,,,,,,,,,,,-19.088456666666666,-44.94233663888888,737.0,SILVA CAMPOS,3,35640000
31,52006,10,0,2,ESTRADA,,PINDAIBA,,SN,,,,,,,,,,,-18.927778305555556,-44.907086638888885,605.0,FAZENDA PINDAIBA,3,35640000
31,52006,10,0,2,ESTRADA,,PINDAIBA,,SN,,,,,,,,,,,-18.933408333333333,-44.91783497222222,609.0,FAZENDA PINDAIBA,3,35640000
31,52006,10,0,2,ESTRADA,,POMPEU A DIAMANTE,,SN,FAZENDA,,,,,,,,,,-18.998133305555555,-44.973058333333334,680.0,FAZENDA,3,35640000
31,52006,10,0,2,ESTRADA,,POMPEU A DIAMANTE,,SN,,,,,,,,,,,-18.956388305555556,-44.961756666666666,736.0,FAZENDA SAO JUDAS TADEU,3,35640000
31,52006,10,0,2,ESTRADA,,POMPEU A DIAMANTE,,SN,,,,,,,,,,,-18.838463333333333,-44.994185,585.0,DIAMANTE,3,35640000
31,52006,10,0,2,ESTRADA,,POMPEU A DIAMANTE,,SN,,,,,,,,,,,-18.976353333333332,-44.94595833333333,645.0,PAU TERRA,3,35640000
31,52006,10,0,2,ESTRADA,,POMPEU A DIAMANTE,,SN,,,,,,,,,,,-18.869548305555558,-44.996228333333335,582.0,DIAMANTE,3,35640000
