COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,SITUACAO,NOM_TIPO_SEGLOGR,NOM_TITULO_SEGLOGR,NOM_SEGLOGR,NUM_ENDERECO,DSC_MODIFICADOR,NOM_COMP_ELEM1,VAL_COMP_ELEM1,NOM_COMP_ELEM2,VAL_COMP_ELEM2,NOM_COMP_ELEM3,VAL_COMP_ELEM3,NOM_COMP_ELEM4,VAL_COMP_ELEM4,NOM_COMP_ELEM5,VAL_COMP_ELEM5,LATITUDE,LONGITUDE,ALTITUDE,DSC_LOCALIDADE,COD_ESPECIE,CEP
31,62922,5,0,1,RUA,,VARGINHA,50.0,,,,,,,,,,,,-20.062626666666667,-44.26200166666667,776.0,PEDRA BRANCA,3,32920000
31,62922,5,0,1,ESTRADA,,SANTO ANTONIO,857.0,,,,,,,,,,,,-20.06454,-44.26652663888889,775.0,BAIRRO SANTO ANTONIO,3,32920000
31,62922,5,0,1,ESTRADA,,SANTO ANTONIO,857.0,,,,,,,,,,,,-20.065833333333334,-44.26538997222222,777.0,BAIRRO SANTO ANTONIO,3,32920000
31,62922,5,0,1,RUA,,COQUEIRAL,205.0,,,,,,,,,,,,-20.090763305555555,-44.24423,791.0,FAROFAO,3,32920000
31,62922,5,0,1,ESTRADA,,NAZARE,650.0,,,,,,,,,,,,-20.089826638888887,-44.24118830555555,784.0,FAROFAO,3,32920000
31,62922,5,0,1,AVENIDA,,PRINCIPAL,,SN,,,,,,,,,,,-20.092836666666667,-44.24898833333334,795.0,FAROFAO,3,32920000
31,62922,5,0,1,RUA,,JOSE ANGELO,21.0,,,,,,,,,,,,-20.099619999999998,-44.250975,858.0,NOSSA SENHORA DA PAZ,3,32920000
31,62922,5,0,1,RUA,,13,28.0,,,,,,,,,,,,-20.100263333333334,-44.24677,849.0,NOSSA SENHORA DA PAZ,3,32920000
31,62922,5,0,1,RUA,,18,,SN,,,,,,,,,,,-20.099616638888886,-44.243613305555556,814.0,NOSSA SENHORA DA PAZ,3,32920000
31,62922,5,0,1,RUA,,SEM DENOMINACAO,375.0,,,,,,,,,,,,-20.09179,-44.26777163888889,839.0,ACOITA CAVALO,3,32920000
