NOME_BARRAGEM_MINERACAO,NOME_DO_EMPREENDEDOR,CPF_CNPJ,LATITUDE,LONGITUDE,POSICIONAMENTO,UF,MUNICIPIO,MINERIO_PRINCIPAL,ALTURA_ATUAL_metros,VOLUME_ATUAL_m3,CATEGORIA_DE_RISCO,DANO_POTENCIAL_ASSOCIADO,CLASSE,INSERIDA_NA_PNSB,Lat_decimal,Long_decimal
0-1,Mineração Taboca S.a.,34.019.992/0001-10,"-00º44'00,100""","-60º08'18,200""",Sul do Equador,AM,PRESIDENTE FIGUEIREDO,Minério de Estanho Primário,22.00,"27,700,000.00",Baixa,Média,C,Sim,0.733361111111111,-60.1383888888889
103 (Cruz),Mineração Taboca S.a.,34.019.992/0001-10,"-00º47'08,600""","-60º08'30,900""",Sul do Equador,AM,PRESIDENTE FIGUEIREDO,Minério de Estanho Primário,10.30,"924,000.00",Baixa,Média,C,Sim,0.785722222222222,-60.1419166666667
111 (Índio),Mineração Taboca S.a.,34.019.992/0001-10,"-00º47'22,800""","-60º08'39,400""",Sul do Equador,AM,PRESIDENTE FIGUEIREDO,Minério de Estanho Primário,5.00,"48,873.00",Baixa,Média,C,Sim,0.789666666666667,-60.1442777777778
158 (A-1),Mineração Taboca S.a.,34.019.992/0001-10,"-00º44'16,900""","-60º04'44,100""",Sul do Equador,AM,PRESIDENTE FIGUEIREDO,Minério de Estanho Primário,30.00,"53,380,000.00",Baixa,Alta,B,Sim,0.738027777777778,-60.0789166666667
161 (A-2),Mineração Taboca S.a.,34.019.992/0001-10,"-00º43'56,233""","-60º04'08,396""",Sul do Equador,AM,PRESIDENTE FIGUEIREDO,Minério de Estanho Primário,22.00,"1,018,054.00",Baixa,Média,C,Sim,0.732286944444444,-60.0689988888889
444 (A-3),Mineração Taboca S.a.,34.019.992/0001-10,"-00º44'18,326""","-60º04'33,114""",Sul do Equador,AM,PRESIDENTE FIGUEIREDO,Minério de Estanho Primário,14.70,"886,241.00",Baixa,Média,C,Sim,0.738423888888889,-60.075865
81-1,Mineração Taboca S.a.,34.019.992/0001-10,"-00º44'35,500""","-60º12'05,100""",Sul do Equador,AM,PRESIDENTE FIGUEIREDO,Minério de Estanho Primário,4.00,"75,522.00",Baixa,Média,C,Sim,0.743194444444444,-60.2014166666667
Pau D'Arco,Mineração Taboca S.a.,34.019.992/0001-10,"-00º45'23,673""","-60º05'16,904""",Sul do Equador,AM,PRESIDENTE FIGUEIREDO,Minério de Estanho Primário,18.00,"52,800.00",Baixa,Média,C,Sim,0.756575833333333,-60.0880288888889
Barragem da Cava,Cadam S.a.,04.788.980/0001-90,"-00º53'51,673""","-52º22'44,295""",Sul do Equador,AP,VITÓRIA DO JARI,Caulim,25.00,"1,755,555.00",Baixa,Média,C,Sim,0.897686944444444,-52.3789708333333
Mario Cruz,Zamin Amapá Mineração S.a.,06.030.747/0001-79,"00º48'03,009""","-51º52'28,293""",Norte do Equador,AP,PEDRA BRANCA DO AMAPARI,Itabirito,28.00,"25,366,731.00",Média,Média,C,Sim,0.800835833333334,-51.8745258333333
